chain_id,name
5990,Dorsett Hotels & Resorts
5991,Silka Hotels
5992,d.Collection
6015,OYO Rooms
6025,AVE hotels
6038,[Plateno Hotels Group] James Joyce Coffetel
6039,[Plateno Hotels Group] Lavande Hotel
6047,Atiram Hotels
6051,Every Hotels
6052,Amba Hotels
6054,Euroloix
6072,Mazagan Resorts
6103,Cassia
6129,FabHotels
6143,COMO
6175,Arena Hospitality Group
6224,Grand Millennium Hotels
6225,The Leng's Collection
6239,Canopy by Hilton
6264,Apartelius
6519,Cheerfulway Hotels & Resorts
6532,Tru by Hilton
6535,Tulip Inn
6536,Golden Tulip
6537,Royal Tulip Luxury Hotels
6539,RedDoorz
6620,Hotel Boss
6627,ZEN Rooms
6667,Shilla
6670,Allegro Hotels Resorts by Barcelo Hotel Group
6671,Royal Hideway Luxury Hotels by Barcelo Hotel Group
6676,Hotel 10
6737,Executive Residency by Best Western 
6738,Vib by Best Western
6740,BW Premier Collection
6868,CZECH INN HOTELS
6869,Fattal Hotels
6920,Dolce Hotels & Resorts
6939,EA Hotels
6980,Sol House MIXED BY IBIZA ROCKS
6996,Beekman Group
7005,SO
7006,Sofitel Legend
7008,Elia Hotels
7039,FIH Regent Group
7076,Kimpton Hotels
7097,Oakwood Studios
7167,Hop Inn Group
7220,Unbound Collection by Hyatt
7264,Grand Residence
7267,AA Hoteles
7277,LDC Group
7315,Tivoli Hotels & Resorts
7316,Anantara Hotels & Resorts
7317,Avani Hotels & Resorts
7318,Elawara Collection
7319,Oaks Hotels & Resorts
7320,PER AQUUM Hotels & Resorts
7328,Latitud Group
7352,HipHop Hostels
7425,Quay West
7435,Dream Hotel Group
7536,Mama Shelter
7547,Attitude Hotels
7639,Labranda Hotels
7657,Sivek Hotels
7680,A Hotels
7681,Riviera Holiday Club
7705,iH Hotels
7731,"Newmark Hotels, Reserves and Lodges"
7856,MPM Hotels
7891,Vinpearl Hotels and Resorts
7895,Brit Hotel
8030,The Crest Collection
8032,Totalstay Group
8033,SureStay Hotel by Best Western
8034,SureStay Plus Hotel by Best Western
8035,SureStay Collection by Best Western
8072,Moshamanla hotel group
8126,Destination hotels
8127,Joie De Vivre hotels
8135,Amritara
8137,Clayton
8162,Okko Hotels
8223,ZEN Premium
8224,ZEN Villa
8235,Fen Hoteles
8279,Fairmont Hotels & Resorts
8282,Raffles
8283,SwissÃ´tel Hotels & Resorts
8329,SOHO Boutique
8338,Casual Hoteles
8408,Wanda Reign
8409,Wanda Vista
8410,Wanda Realm
8411,Wanda Jin
8441,Best 3 Star Hotels
8456,Quality Hotel
8464,Friends hotels and hostels
8502,Aqueen
8549,Wanda Hotels & Resorts
8600,De Vere
8601,Principal
8630,Ikonik Hotels
8644,Country Inn & Suites by Radisson
8645,Park Inn by Radisson
8647,Radisson
8648,Radisson Blu
8649,Radisson Blu Edwardian
8650,Radisson Red
8670,Sol by MeliÃ¡
8673,JO & JOE
8718,Z Hotels
8719,[Plateno Hotels Group] IU Hotel
8828,Apartamentos & Hoteles Viaggio
8832,DisneyÂ® Hotels
9029,Provenance Hotels
9239,Red Roof PLUS
9264,GLH
9265,Thistle Express
9297,Rove Hotels
9326,Residhome Apparthotel
9327,SÃ©jours & Affaires Apparthotel
9328,Relais Spa
9329,Trademark
9349,AmericInn
9364,Brown Hotels
9392,AX Hotels
9441,Kastel HotÃ©is
9446,Rixos
9447,Hotel du Vin
9448,Malmaison
9450,Yoho Bed
9602,Tandem
9605,GRUPA PODUSZKA
9662,Auberge Resorts
9691,TFE Hotels Collection
9702,Odalys Chalet
9703,Odalys City/Campus
9704,RÃ©sidence Vacances Odalys
9725,[Plateno Hotels Group] Pai Hotel
9744,Hotel Sunroute
9747,Velinn
9790,Hestia Hotel Group
9817,Tapestry Collection
9831,Sunissim
9833,Skissim
9834,CGH Earth
9891,Pear Tree Inn
9902,Zafiro Hotels
9918,Crown & Champa Resorts
9983,BW Signature Collection by Best Western
9984,Glo by Best Western
9986,NÃ©mÃ©a Campagne 
9987,NÃ©mÃ©a City 
9988,NÃ©mÃ©a RÃ©sidences Etudiante
9989,NÃ©mÃ©a Mer
9990,NÃ©mÃ©a Montagne 
10103,Alegria Hotels
10134,Details Hotels & Resorts
10150,FÃªnix 
10176,9 Hotel Collection
10207,Selina Hotels
10246,Eden Hotels - The Netherlands
10248,Zabeel House
10249,Zabeel House MINI
10280,AP Hotels & Resorts
10295,Radisson Collection
10303,MINT Residential
10340,Ribas Hotels Group
10354,HMC Colombia
10379,Solar Hoteles
10381,Tang's Living
10401,Lux* Resorts and Hotels
10416,Saint Jane
10458,die Originale
10466,Human Company
10469,Concept Hotel Group
