region_id,name,country,region_type
1408,Ibiza,es,island
1409,Menorca,es,island
1413,Auckland Region,nz,province
1414,Bay of Plenty,nz,province
1415,Canterbury,nz,province
1417,Manawatu,nz,province
1419,Otago,nz,province
1420,Waikato,nz,province
1421,Wellington,nz,province
1423,Abruzzo,it,province
1424,Jersey,gb,island
1425,Ile de France,fr,province
1427,Lake Como,it,free_region
1428,Lake Garda,it,free_region
1430,Lago Maggiore - Italy,it,free_region
1431,Lake Trasimeno,it,free_region
1432,Castelli Romani,it,free_region
1433,Elba,it,island
1434,Capri Island,it,island
1436,Guernsey,gb,island
1437,Lake District,gb,free_region
1438,Dolomites,it,free_region
1439,Highland,gb,other
1440,Italian Riviera,it,free_region
1446,Autoroute Paris - Toulouse (A20),fr,other
1447,Autoroute Paris - Bordeaux (A10),fr,other
1448,Autoroute Karlsruhe - Milan,it,other
1449,Autoroute Kassel - Dresden - Prague,de,other
1450,Autoroute Frankfurt - Vienna,de,other
1451,D-day Beaches,fr,free_region
1453,Mont Blanc Valley,fr,other
1456,Gulf of Lion,fr,free_region
1458,Atlantic Coast,fr,free_region
1459,Baixo Alentejo,pt,free_region
1460,Estremadura,pt,free_region
1461,Ribatejo,pt,free_region
1462,Minho,pt,free_region
1464,Versilia,it,free_region
1465,Grosseto Area,it,other
1466,Chianti,it,free_region
1467,Massif Central,fr,free_region
1468,Opal Coast,fr,free_region
1469,Saxony,de,province
1470,Bremen,de,province
1472,German Wine Route,de,other
1473,Fairy tale Route,de,other
1474,Castle Route,de,free_region
1475,Goethe Route,de,other
1476,Romantic Road,de,free_region
1477,Black Forest,de,free_region
1478,AllgÃ¤u,de,free_region
1479,Eifel,de,free_region
1480,HunsrÃ¼ck,de,free_region
1481,Luneburg Heath,de,free_region
1482,Siebengebirge,de,free_region
1483,Teutoburg Forest,de,free_region
1484,Lake Iseo,it,free_region
1485,Poitou,fr,other
1486,Gorges du Tarn,fr,free_region
1487,French Basque Country,fr,free_region
1488,Harz,de,free_region
1490,World Heritage Cities,es,other
1491,Routes of Sefarad,es,other
1492,Santiago's Route,es,free_region
1493,The English Route,es,other
1494,North Route,es,other
1495,The French Route,es,other
1496,Green Spain,es,other
1497,Silver Route,es,other
1498,Washington Irving,es,other
1499,Phu Quoc Island,vn,island
1500,Koh Tao Island,th,island
1501,Koh Samui,th,island
1502,Koh Chang,th,island
1503,Pulau Bintan,id,free_region
1504,Pulau Batam,id,free_region
1505,Palawan,ph,island
1506,Nagarao,ph,island
1507,RÃ¼gen,de,island
1508,Reichenau,de,island
1509,Dominica,dm,other
1510,Ãle Saint-BarthÃ©lemy,gp,island
1513,Santorini,gr,island
1516,Perhentian Islands,my,free_region
1518,Badajoz Province,es,free_region
1519,Cuenca Province,es,free_region
1520,Castellon Province,es,free_region
1521,Caceres Province,es,free_region
1522,Extremadura,es,province
1523,Valencia Community,es,province
1525,TrÃ¡s-os-Montes e Alto Douro,pt,free_region
1526,Douro Litoral,pt,free_region
1527,Beira Interior Norte,pt,free_region
1528,Beira Interior Sul,pt,free_region
1529,Alto Alentejo,pt,free_region
1530,Azores,pt,province
1534,Autoroute A8 - autoroutes du sud de la France,fr,other
1535,Autoroute A51 - Autoroutes du sud de la France,fr,other
1536,Autoroute A50 - Autoroutes du sud de la France,fr,other
1537,A 57- Autoroutes du sud de la France,fr,other
1538,Autoroute A55 - Autoroutes du sud de la France,fr,other
1539,Autoroute A7 - Autoroutes du sud de la France - Autoroute du soleil,fr,other
1540,Autoroute A52 - Autoroutes du sud de la France,fr,other
1541,Autoroute A54 - Autoroutes du sud de la France,fr,other
1542,Autoroute A9 - Autoroutes du sud de la France,fr,other
1543,Autoroute A61 - Autoroutes du sud de la France,fr,other
1544,Autoroute A66 - Autoroutes du sud de la France,fr,other
1545,Autoroute A64 - Autoroutes du sud de la France,fr,other
1546,Autoroute A63 - Autoroutes du sud de la France,fr,other
1547,Autoroute A62 - Autoroutes du sud de la France,fr,other
1548,Autoroute A20 - Autoroutes du sud de la France,fr,other
1549,Autoroute A89 - Autoroutes du sud de la France,fr,other
1550,Autoroute A75 - Autoroutes du sud de la France,fr,other
1551,Autoroute A72 - Autoroutes du sud de la France,fr,other
1552,Autoroute A10 - Autoroutes du sud de la France,fr,other
1553,Autoroute A837 - Autoroutes du sud de la France,fr,other
1554,Autoroute A11 - Autoroutes du sud de la France,fr,other
1555,Somme,fr,free_region
1557,Indre et Loire,fr,free_region
1558,Sauerland,de,free_region
1559,Island of RÃ©,fr,island
1562,Silesia,pl,province
1563,West Pomerania,pl,province
1566,Mullerthal,lu,free_region
1567,Little Switzerland,lu,free_region
1568,Moselle Valley Luxembourg,lu,other
1569,Disneyland Paris,fr,free_region
1570,Corfu,gr,island
1571,Larnaca Region,cy,free_region
1573,Salzburger Lake district,at,other
1574,Santiago's Route,fr,other
1575,World Heritage Cities,fr,other
1577,Oise,fr,free_region
1580,French Riviera,mc,free_region
1581,Gulf of Saint Tropez,fr,free_region
1582,Vaucluse,fr,free_region
1591,Rhodes,gr,island
1595,Teruel,es,free_region
1596,Ischia Island,it,island
1600,Segovia,es,free_region
1602,Gastein Valley,at,free_region
1607,Hohe Tauern,at,free_region
1612,Rennsteig,de,free_region
1613,Europa Sportregion,at,free_region
1615,Bruges Woodland,be,free_region
1616,Thermen- & Vulkanland Styria,at,free_region
1617,Westhoek,be,free_region
1618,Leiestreek,be,free_region
1620,Salzkammergut,at,free_region
1621,Scheldeland,be,free_region
1622,Groene Gordel,be,free_region
